"species","breed_name","color","name","actual_card_num","sex","birth_date"
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ШИНШИЛЛА","ФЕЯ",5210,2,20150510
2,"АНГОРСКАЯ","БЕЛЫЙ","КИМА",9126,2,20020202
1,"МЕТИС","БЕЛО-РЫЖИЙ","НАЙДА",5209,2,20140615
1,"МЕТИС","ПЕГИЙ","БИМ",5207,1,20150525
2,"СФИНКС ДОНСКОЙ","СЕРЫЙ ТАББИ БИК","МУХА",5335,2,20150615
1,"ШПИЦ ПОМЕРАНЦЕВЫЙ","РЫЖИЙ","ДЭН",5475,1,20131026
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","МАРУСЯ",5160,2,20140710
2,"ТАЙСКАЯ","ШП","ФИЛЯ",5205,1,20150410
1,"БУЛЬДОГ ФРАНЦУЗСКИЙ","ТИГРОВЫЙ","РОНИ",14954,1,20150601
2,"МЕТИС","ЧЕРНЫЙ","ТАЙСОН",5333,3,20130801
2,"СКОТТИШ-ФОЛД","ГОЛУБОЙ БИКОЛОР","ОСКАР",7901,1,20150615
2,"МЕТИС","РЫЖИЙ БИКОЛОР","КУЗЯ",14560,3,20140715
2,"МЕТИС","РЫЖИЙ ТАББИ","ТОМА",14569,4,20100615
1,"РЕТРИВЕР ГОЛДЕН","ПОРОДНЫЙ","ГЛОРИЯ",13792,2,20131209
1,"БОЛОНКА МАЛЬТИЙСКАЯ","БЕЛЫЙ","ДЕНИ",5231,1,20150705
1,"ПИНЧЕР ЦВЕРГ","КРАСНЫЙ","ДЕЗИ",5230,2,20150605
1,"МЕТИС","ЧЕПРАЧНЫЙ","МАРСЕЛЬ",5229,1,20150610
2,"МЕТИС","ЧЕРЕПАХОВЫЙ ТАББИ","АСЯ",5331,4,20150415
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ЧЕРНЫЙ","БОНА",5228,2,20150628
2,"МЕТИС","ГОЛУБОЙ","ДЫМОК",5227,1,20150615
2,"СНОУ-ШУ","ЧЕРЕПАХОВЫЙ ТАББИ","АСЯ",5186,4,20150223
2,"МЕТИС","ЧЕРНЫЙ","МУХА",5226,1,20150519
2,"ЕВРОПЕЙСКАЯ КОРОТКОШЕРСТНАЯ","ЧЕРНЫЙ","МАЛЫШ",5301,3,20040404
2,"ХАЙЛЕНД СТРАЙТ","ГОЛУБОЙ","ТИМОША",5330,3,20150226
2,"МЕТИС","ГОЛУБОЙ БИКОЛОР","АЛИСА",5303,4,20130615
1,"МЕТИС","ТРИКОЛОР","ДАНА",5225,4,20111111
1,"ШАР-ПЕЙ","РЫЖИЙ","БЕРТА",5224,2,20150910
2,"МЕТИС","Ш/П","АНФИСА",5223,4,20030615
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","КРЕМОВЫЙ ТАББИ","ДЕНДИ",14973,1,20150723
1,"БОЛОНКА МАЛЬТИЙСКАЯ","БЕЛЫЙ","МАРСЕЛЬ",5328,1,20150627
2,"МЕТИС","РЫЖИЙ ТАББИ","КУЗЯ",5327,2,20150715
2,"МЕТИС","ЧЕРЕПАХОВЫЙ ТАББИ","МУСЯ",5326,4,20080615
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","ЖУЛИ",5325,2,20150620
2,"МЕТИС","СЕРЫЙ ТАББИ","ЭФИ",5608,2,20140610
2,"МЕТИС","СЕРЫЙ ТАББИ","СЕНЯ",5324,3,20150512
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","ТИША",5322,4,20150421
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ЛИЛОВЫЙ","САЙМОН",5321,1,20150720
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ЛИЛОВЫЙ","АМУР",5319,3,20130222
